id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
197399,0,11,f,0,,68,4,,202,3,57,0,1958
197400,0,2,t,20,1,69,5,,205,3,6,0,1958
197401,0,1,t,19,2,69,5,,205,3,7,2,1958
197402,0,1,t,16,3,69,5,,205,3,49,2,1958
197403,0,2,t,10,4,69,5,,205,3,34,0,1958
197404,0,4,t,3,5,69,5,,205,3,58,0,1958
197405,0,4,t,3,6,69,5,,205,3,2,0,1958
197406,0,11,f,0,,69,5,,205,3,57,0,1958
197407,0,1,t,28,1,70,6,,208,3,6,1,1958
197408,0,1,t,22,2,70,6,,208,3,49,2,1958
197409,0,1,t,19,3,70,6,,208,3,7,2,1958
197410,0,2,t,10,4,70,6,,208,3,34,0,1958
197411,0,4,t,6,5,70,6,,208,3,2,0,1958
197412,0,4,t,3,6,70,6,,208,3,58,0,1958
197413,0,11,f,0,,70,6,,208,3,57,0,1958
197414,0,1,t,36,1,71,7,,211,3,6,2,1958
197415,0,1,t,25,2,71,7,,211,3,49,2,1958
197416,0,1,t,23,3,71,7,,211,3,7,2,1958
197417,0,2,t,12,4,71,7,,211,3,34,0,1958
197418,0,4,t,6,5,71,7,,211,3,2,0,1958
197419,0,4,t,3,6,71,7,,211,3,58,0,1958
197420,0,11,f,0,,71,7,,211,3,57,0,1958
197421,0,,f,0,,71,7,,211,3,40,0,1958
197422,0,1,t,37,1,72,8,,214,3,6,2,1958
197423,0,1,t,33,2,72,8,,214,3,49,3,1958
197424,0,1,t,29,3,72,8,,214,3,7,2,1958
197425,0,2,t,12,4,72,8,,214,3,34,0,1958
197426,0,4,t,6,5,72,8,,214,3,2,0,1958
197427,0,4,t,3,6,72,8,,214,3,58,0,1958
197428,0,6,f,0,,72,8,,214,3,57,0,1958
197429,0,,f,0,,72,8,,214,3,40,0,1958
197430,0,1,t,41,1,73,9,,217,3,49,4,1958
197431,0,1,t,40,2,73,9,,217,3,6,2,1958
197432,0,1,t,29,3,73,9,,217,3,7,2,1958
197433,0,2,t,15,4,73,9,,217,3,34,0,1958
197434,0,4,t,6,5,73,9,,217,3,2,0,1958
197435,0,4,t,3,6,73,9,,217,3,58,0,1958
197436,0,6,f,0,,73,9,,217,3,57,0,1958
197437,0,,f,0,,73,9,,217,3,40,0,1958
197438,0,1,t,46,1,74,10,,220,3,49,5,1958
197439,0,1,t,40,2,74,10,,220,3,6,2,1958
197440,0,1,t,31,3,74,10,,220,3,7,2,1958
197441,0,2,t,15,4,74,10,,220,3,34,0,1958
197442,0,4,t,6,5,74,10,,220,3,2,0,1958
197443,0,4,t,3,6,74,10,,220,3,58,0,1958
197444,0,6,f,0,,74,10,,220,3,57,0,1958
197445,0,,f,0,,74,10,,220,3,40,0,1958
197446,0,1,t,48,1,75,11,9,223,3,49,6,1958
197447,0,1,t,40,2,75,11,9,223,3,6,2,1958
197448,0,1,t,31,3,75,11,9,223,3,7,2,1958
197449,0,2,t,18,4,75,11,9,223,3,34,0,1958
197450,0,4,t,6,5,75,11,9,223,3,2,0,1958
197451,0,4,t,3,6,75,11,9,223,3,58,0,1958
197452,0,6,f,0,,75,11,9,223,3,57,0,1958
197453,0,,f,0,,75,11,9,223,3,40,0,1958
197454,0,1,t,8,1,76,1,,226,3,59,1,1959
197455,0,2,t,6,2,76,1,,226,3,6,0,1959
197456,0,6,f,0,,76,1,,226,3,60,0,1959
